rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
1,cristiano,92,3.3k,475.8m,8.7m,1.39%,6.5m,29.0b,Spain
16,virat.kohli,87,1.4k,211.8m,3.5m,0.96%,2.0m,4.9b,
17,nickiminaj,90,6.4k,201.6m,2.1m,0.53%,1.0m,13.5b,United States
21,katyperry,92,2.0k,170.3m,715.0k,0.16%,265.1k,1.5b,
23,zendaya,87,3.5k,150.7m,5.8m,3.17%,4.8m,20.6b,United States
24,iamcardib,75,1.6k,140.5m,3.1m,1.10%,1.5m,5.0b,United States
31,chrisbrownofficial,86,7.3k,118.5m,463.2k,0.22%,255.9k,3.4b,United States
33,billieeilish,73,0.69k,105.2m,8.5m,5.02%,5.2m,5.9b,
34,dualipa,74,1.3k,85.9m,2.1m,1.26%,1.1m,2.6b,United Kingdom
35,gal_gadot,85,1.7k,85.6m,1.4m,0.69%,586.5k,2.3b,United States
36,vindiesel,88,1.8k,82.3m,1.4m,0.60%,482.3k,2.5b,United States
38,priyankachopra,85,3.6k,81.1m,1.6m,1.00%,802.9k,5.6b,United States
43,davidbeckham,86,1.5k,74.9m,1.2m,0.46%,340.9k,1.9b,United States
44,shraddhakapoor,81,1.9k,73.9m,1.6m,1.17%,859.9k,3.0b,
48,nba,87,12.9k,70.1m,370.8k,0.28%,196.9k,4.8b,United States
52,aliaabhatt,82,1.8k,68.7m,1.8m,3.14%,2.1m,3.3b,India
53,deepikapadukone,83,0.26k,68.4m,1.6m,2.23%,1.5m,419.0m,India
54,tomholland2013,77,1.2k,67.7m,5.4m,10.83%,7.3m,6.6b,
56,emmawatson,87,0.34k,67.3m,1.9m,0.01%,0,639.0m,United States
58,katrinakaif,85,1.0k,66.3m,1.7m,2.25%,1.5m,1.7b,India
62,willsmith,82,1.4k,63.9m,1.4m,0.02%,0,1.9b,United States
67,akshaykumar,85,1.9k,62.8m,1.5m,1.01%,624.9k,2.9b,
68,jacquelinef143,85,2.4k,62.7m,1.1m,1.15%,718.8k,2.8b,India
72,anushkasharma,85,1.2k,59.5m,1.9m,2.34%,1.4m,2.2b,
76,milliebobbybrown,80,0.28k,57.6m,4.0m,8.63%,5.0m,1.1b,United States
78,chrishemsworth,86,0.88k,55.9m,2.8m,3.69%,2.1m,2.5b,Australia
82,leonardodicaprio,86,1.7k,54.6m,395.5k,0.20%,107.6k,669.3m,
87,beingsalmankhan,76,1.2k,53.5m,1.4m,1.33%,693.9k,1.6b,India
88,robertdowneyjr,86,0.42k,53.4m,3.0m,2.05%,1.1m,1.3b,United States
89,sunnyleone,84,4.6k,53.4m,764.0k,0.57%,301.3k,3.5b,
91,dishapatani,74,2.1k,53.0m,1.6m,1.85%,971.7k,3.4b,United States
99,michelleobama,85,0.60k,50.7m,700.5k,1.22%,611.2k,421.7m,
100,kritisanon,76,2.7k,50.2m,897.2k,1.21%,604.4k,2.4b,India
103,thv,83,0.06k,49.3m,15.4m,25.80%,12.6m,987.4m,
115,harrystyles,57,0.59k,46.9m,4.7m,6.38%,2.9m,2.8b,United States
132,varundvn,84,1.9k,43.8m,1.1m,1.48%,640.5k,2.0b,India
133,hrithikroshan,85,0.58k,43.7m,1.6m,3.82%,1.6m,949.9m,C̫te d'Ivoire
138,kapilsharma,83,0.95k,42.2m,736.4k,1.49%,624.5k,710.7m,
146,ranveersingh,85,1.8k,40.8m,1.0m,0.76%,299.3k,1.8b,Switzerland
148,jenniferaniston,85,0.09k,40.7m,4.6m,1.88%,731.0k,452.0m,
150,andresiniesta8,85,2.0k,40.0m,250.8k,0.41%,161.7k,500.5m,Spain
159,chrissyteigen,79,5.1k,38.9m,623.1k,0.43%,162.1k,3.2b,United States
162,hm,83,7.3k,38.5m,88.4k,0.06%,22.4k,644.1m,Sweden
163,anushkasen0408,85,5.3k,38.3m,695.4k,1.75%,658.3k,3.7b,
167,parineetichopra,84,1.3k,37.4m,505.7k,0.68%,246.9k,672.1m,
176,shahidkapoor,82,1.1k,35.6m,1.3m,2.54%,780.0k,1.5b,
177,tigerjackieshroff,83,2.1k,35.6m,1.1m,1.20%,422.9k,2.2b,India
179,barackobama,81,0.66k,35.4m,1.1m,1.19%,411.5k,739.5m,United States
180,sachintendulkar,76,1.0k,35.3m,800.4k,2.03%,664.5k,810.0m,
190,shaymitchell,83,6.3k,34.1m,732.4k,0.73%,247.5k,4.6b,United States
195,sonamkapoor,75,4.8k,33.3m,264.7k,0.63%,209.2k,1.3b,India
196,iambeckyg,71,2.3k,33.2m,623.8k,1.40%,464.7k,1.4b,United States